gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
gene_1806,6786.87901636276,-4.00228530549198,0.171251283682564,-23.3708338964088,8.46343418143724e-121,4.87155271483527e-117,4.00228530549198,-16.025364933332
gene_3429,1220.83690293284,-4.20065302539523,0.226775735384746,-18.5233795770453,1.33770172201665e-76,3.84990555596391e-73,4.20065302539523,-18.3874947620594
gene_4265,2044.68869960801,-4.30156864854149,0.236012559097015,-18.226015873898,3.20861754646846e-74,4.61720064936812e-71,4.30156864854149,-19.7197403198186
gene_3284,1561.14507130226,-4.29422711061606,0.252660384231168,-16.9960444083197,8.78516000328094e-65,1.0113476195777e-61,4.29422711061606,-19.6196460636974
gene_2493,1775.83236159557,-3.37347314786474,0.19999202805953,-16.8680380943014,7.73221392253661e-64,7.41777055635346e-61,3.37347314786474,-10.3637423379667
gene_1144,1511.74125337562,-4.62740595962575,0.303560770085066,-15.2437548446363,1.8115350911155e-52,1.48959942635155e-49,4.62740595962575,-24.716558267144
gene_2359,1409.90795517424,-4.96753993130257,0.352762480862881,-14.08182616006,4.91237691142538e-45,3.37224387418088e-42,4.96753993130257,-31.2880519458859
gene_1067,1706.33219706873,3.46342156172528,0.246037172074765,14.076822345661,5.27279271501528e-45,3.37224387418088e-42,3.46342156172528,11.0304639021601
gene_2845,1260.70638682979,-3.10385754451374,0.223606982420295,-13.880861460219,8.27434663524741e-44,4.76271392324841e-41,3.10385754451374,-8.59714443637646
gene_1899,768.042799523123,-4.64178278463906,0.335337342834542,-13.8421290793413,1.41939322095893e-43,7.427297618036e-41,4.64178278463906,-24.9640964329343
gene_4961,3665.26268599079,-2.58792868788001,0.188984982828048,-13.6938324365947,1.10522636153392e-42,5.30140244749105e-40,2.58792868788001,-6.0123487157532
gene_3245,238.302535513902,-5.04286666701638,0.372966117280699,-13.5209780013905,1.17601887558192e-41,5.20704972911504e-39,5.04286666701638,-32.9650797627666
gene_3800,892.577953479703,-3.06505416462468,0.226946335778674,-13.5056340703109,1.4486114780434e-41,5.955862619727e-39,3.06505416462468,-8.36899371841826
gene_3,13498.7082797892,-2.73909988012963,0.205419353359665,-13.3341860702569,1.46444284689096e-40,5.61955535113626e-38,2.73909988012963,-6.67653646074684
gene_2721,378.915636487839,-3.51952589562404,0.266365956466023,-13.2131220607877,7.37028676228421e-40,2.65146066273174e-37,3.51952589562404,-11.4678727453375
gene_2609,19451.3170648178,-3.0253058932948,0.230771049387259,-13.1095555587564,2.90294586836319e-39,9.82903318723443e-37,3.0253058932948,-8.14156360202534
gene_4805,581.245777968509,-3.32152674674934,0.257089528123718,-12.9197278900871,3.48371284403534e-38,1.11401395168152e-35,3.32152674674934,-9.99721845361885
gene_1091,2487.541083513,3.48008309529669,0.27674700814237,12.5749619432431,2.89939889765248e-36,8.34447002744385e-34,3.48008309529669,11.1585920167387
gene_4119,608.952913627102,3.17557144953984,0.253256399112647,12.5389583863086,4.56962262095664e-36,1.2525118002965e-33,3.17557144953984,9.03529339715323
gene_4811,3547.45027922671,-5.11383754231307,0.410284669780747,-12.4641204484824,1.17157267240584e-35,3.06526013744001e-33,5.11383754231307,-34.6272891270894
gene_4806,1365.03188476677,-2.79380355117537,0.228021173224845,-12.252386529125,1.63123826630264e-34,4.08235106992955e-32,2.79380355117537,-6.93455617953372
gene_2922,1938.47360081266,-5.12515561345596,0.421997369260226,-12.1449942269558,6.09868976670951e-34,1.46266909571583e-31,5.12515561345596,-34.9000116632188
gene_4168,230.226115700162,-4.64072319441759,0.384122375149395,-12.0813664984048,1.32499213048146e-33,3.05066188122051e-31,4.64072319441759,-24.9457682344307
gene_816,40195.8008620947,-2.50564948280828,0.212452780791078,-11.7939123859823,4.19586296706631e-32,9.28899509170527e-30,2.50564948280828,-5.67904948466339
gene_3028,1822.64426127072,-2.83699285172685,0.240868252622937,-11.7781933518984,5.05652531797037e-32,1.07797628630509e-29,2.83699285172685,-7.14529141520604
gene_2391,516.985628803797,-2.7427963236387,0.236571925435711,-11.593921462097,4.42403537622399e-31,9.09455272340904e-29,2.7427963236387,-6.69366487857525
gene_1646,6103.85541430616,-2.21507468058526,0.191852617529299,-11.5457099783743,7.75980496333775e-31,1.48884791229907e-28,2.21507468058526,-4.64305599742307
gene_489,624.97870480376,4.25125156047364,0.368134714757181,11.5480865836783,7.54822122550903e-31,1.48884791229907e-28,4.25125156047364,19.0438274937753
gene_1701,369.220051720295,-2.65916913134646,0.230551950612353,-11.5339259732291,8.89908840090838e-31,1.65235976889125e-28,2.65916913134646,-6.3166915743716
gene_916,190.230414805159,-3.84712013183062,0.333969161428643,-11.5193873451475,1.05357434547525e-30,1.8951168539236e-28,3.84712013183062,-14.3912512901478
gene_297,10821.0377334777,-4.25992346325987,0.381849113788811,-11.1560386273828,6.69068952623305e-29,1.16701845190901e-26,4.25992346325987,-19.1586428574571
gene_634,901.35818385084,-2.18804054861309,0.196395954721445,-11.1409654629417,7.92554626920756e-29,1.34174836251643e-26,2.18804054861309,-4.55686158295495
gene_1141,11108.8762823063,-2.99868485223031,0.270364491943381,-11.0912673135283,1.38314210223797e-28,2.27467598299479e-26,2.99868485223031,-7.99271059523394
gene_1897,295.017751968143,-3.07845710009531,0.278875593654458,-11.0388186350566,2.48275858620875e-28,3.96965511728265e-26,3.07845710009531,-8.44710567820989
gene_952,1701.76659385459,3.21810359658099,0.292520370844962,11.0012974046399,3.76673030329725e-28,5.85981070966999e-26,3.21810359658099,9.30562852396881
gene_4195,268.303430536793,5.70016481733546,0.519809421650241,10.965874376111,5.57589543969454e-28,8.44601425023204e-26,5.70016481733546,51.9900925145948
gene_2289,1191.43242918143,-2.70888281479569,0.247181741017139,-10.9590732861124,6.01117459872783e-28,8.8718771769942e-26,2.70888281479569,-6.53815153455711
gene_637,20686.4093184678,-2.0811605186977302,0.190942993130031,-10.8993814571686,1.16043448323536e-27,1.66986522137568e-25,2.0811605186977302,-4.23147463519551
gene_3057,3093.90572352821,-2.22531071666809,0.204541926463053,-10.8794844907753,1.4437714604652e-27,2.0269142747409e-25,2.22531071666809,-4.6761159920431
gene_2819,2502.62466783145,-1.99056922825093,0.183259744286309,-10.8620102903835,1.74856894743299e-27,2.39637210986292e-25,1.99056922825093,-3.9739376251494
gene_2700,1017.24163339324,5.82587776536385,0.538449513710944,10.8197289012529,2.77597270625558e-27,3.71592997609468e-25,5.82587776536385,56.7236225455633
gene_3721,1673.89255641273,-2.55428767637274,0.23621152361637,-10.8135608173001,2.96916292203295e-27,3.8842049498231e-25,2.55428767637274,-5.87377366997907
gene_3006,537.028521370819,-2.60024784950417,0.240662473798031,-10.8045421808734,3.2758704718584e-27,4.19020231911487e-25,2.60024784950417,-6.06390793281102
gene_3133,921.107794842336,-2.31334274817545,0.214216553433197,-10.7990849031042,3.47651039851934e-27,4.35017257692986e-25,2.31334274817545,-4.97033381359651
gene_2122,1515.99060049876,-2.44095604446448,0.226288158625286,-10.7869367062485,3.96795825545125e-27,4.85948249327179e-25,2.44095604446448,-5.43001447718918
gene_1902,390.945185061109,3.18977242780012,0.296036430342063,10.7749320720913,4.52115713038456e-27,5.42162092551949e-25,3.18977242780012,9.12467027854385
